Year,AQI
2001,27.142156862745097
2002,25.40506329113924
2003,29.024390243902438
2004,32.61616161616162
2005,34.98814229249012
2006,30.57777777777778
2007,29.281899109792285
2008,31.778688524590162
2009,28.208333333333332
2010,24.295890410958904
2011,25.556473829201103
2012,27.417582417582416
2013,28.486486486486488
2014,25.689285714285713
2015,28.645251396648046
2016,24.209876543209877
2017,31.753424657534246
2018,28.747945205479454
2019,27.25824175824176
2020,34.63013698630137
2021,26.559171597633135
2022,24.587912087912088
2023,20.17924528301887
